name,cost,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein
7-Layer Burrito,2.79,430,140,16,6,0,15,1,57,7,4,14
Bean Burrito,1.19,370,100,11,4,0,5,1,55,9,3,14
Beefy 5-Layer Burrito,1.69,500,170,19,7,0,30,1,63,8,5,19
Beefy Fritos® Burrito,1,430,160,18,4,0,20,1,55,4,3,13
Beefy Mini Quesadilla,1,210,100,12,4,0,25,530,17,3,1,9
Beefy Nacho Loaded Griller,1.59,370,130,15,4,0,20,810,47,5,3,12
Black Bean Burrito,2.19,380,100,11,4,0,10,1,57,8,3,14
Black Beans,1.49,80,10,1,0,0,0,200,12,5,0,4
Black Beans & Rice,1.49,180,35,4,0,0,0,430,30,5,0,6
Breakfast Crunchwrap - Bacon,2.49,670,380,42,12,0,145,1,51,4,3,21
Breakfast Crunchwrap - California,2.79,630,340,38,11,0,140,1,52,5,3,21
Breakfast Crunchwrap - Sausage,2.49,700,410,46,14,0,150,1,51,4,3,21
Breakfast Crunchwrap - Steak,2.49,650,350,39,11,0,150,1,51,4,3,24
Breakfast Soft Taco - Bacon,1,240,130,14,5,0,120,580,15,0,1,11
Breakfast Soft Taco - Egg & Cheese,1,170,80,9,3,0,105,330,15,0,0,7
Breakfast Soft Taco - Sausage,1,230,130,14,5,0,115,400,15,0,0,9
Burrito Supreme® - Beef,2.99,400,130,15,6,0,30,1,51,8,4,17
Burrito Supreme® - Chicken,2.99,380,110,12,5,0,35,1,49,6,4,20
Burrito Supreme® - Steak,2.99,390,110,12,5,0,35,1,50,6,4,19
Caramel Apple Empanada,1,280,120,13,3,0,0,260,38,1,15,3
Chalupa Supreme® - Beef,2.59,360,190,21,5,0,30,570,31,4,4,13
Chalupa Supreme® - Chicken,3.19,340,160,18,3,0,35,540,29,2,3,16
Chalupa Supreme® - Steak,3.19,340,160,18,4,0,30,550,30,2,3,16
Cheese Roll-Up,1,180,80,9,5,0,20,430,15,2,0,9
Cheesy Bean & Rice Burrito,1,420,160,17,3,0,5,920,55,6,4,11
Cheesy Burrito - Bacon,1.79,490,250,28,11,0,240,1,37,2,3,23
Cheesy Burrito - Bacon - Fresco Style,1.79,390,180,20,6,0,210,930,36,2,3,16
Cheesy Burrito - Sausage,1.79,480,260,28,11,0,235,900,36,2,2,20
Cheesy Burrito - Sausage - Fresco Style,1.79,380,180,20,6,0,205,750,35,2,3,14
Cheesy Burrito - Steak,1.79,480,230,25,10,0,245,1,37,2,2,26
Cheesy Burrito - Steak - Fresco Style,1.79,370,150,17,5,0,215,910,36,2,3,19
Cheesy Fiesta Potatoes,1.39,230,110,12,2,0,5,520,28,2,2,3
Cheesy Gordita Crunch,2.79,500,250,28,10,0,55,840,41,5,4,20
Cheesy Potato Burrito,2.49,480,200,22,7,0,40,1,54,7,4,18
Chili Cheese Burrito (regional),1.69,370,150,17,8,0,40,960,40,4,2,16
Chipotle Chicken Loaded Griller,1.59,340,140,16,4,0,35,770,36,2,3,14
Chips and Guacamole,1.49,320,180,20,2,0,0,450,32,6,1,4
Chips and Nacho Cheese Sauce,1.39,300,150,17,1,0,5,460,34,3,2,4
Chips and Pico de Gallo,1.49,230,100,11,1,0,0,260,30,3,2,3
Chips and Salsa,1.49,250,100,11,1,0,0,470,33,4,4,4
Cinnabon® Delights™ (12 Pack - Serves 4),4.89,930,480,53,13,2,40,480,104,3,59,9
Cinnabon® Delights™ (2 Pack),1,160,80,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (4 Pack),1.79,310,160,18,4,0,15,160,35,0,20,3
Cinnamon Twists,1,170,50,6,0,0,0,210,27,0,12,1
Combo Burrito,2.39,450,160,18,7,0,40,1,51,9,3,21
Cool Ranch® Doritos® Cheesy Gordita Crunch,3.19,500,250,28,10,0,55,910,41,4,5,20
Cool Ranch® Doritos® Double Decker® Taco,1.89,320,120,13,5,0,25,760,36,6,2,14
Cool Ranch® Doritos® Locos Taco,1.49,170,90,10,3,0,25,370,13,2,0,8
Cool Ranch® Doritos® Locos Taco Supreme®,1.89,190,100,11,4,0,30,390,15,3,2,8
Crunchwrap Supreme®,3.19,530,190,21,6,0,25,1,71,6,6,16
Crunchy Taco,1.19,170,90,9,3,0,25,310,13,3,0,8
Crunchy Taco Supreme®,1.39,190,100,11,4,0,30,330,15,3,2,8
Double Decker® Taco,1.89,320,120,13,5,0,25,700,36,7,2,14
Double Decker® Taco Supreme®,2.19,340,130,15,6,0,30,720,38,7,3,14
Double Tostada (regional),1.59,510,220,24,5,0,15,860,56,9,3,16
DoubleDilla - Chicken,3.99,660,290,32,13,0,95,1,56,5,4,38
DoubleDilla - Chicken with Chips & Salsa,4.99,910,390,43,14,0,95,2,89,9,8,42
DoubleDilla - Steak,3.99,670,300,33,14,0,90,1,58,5,4,37
DoubleDilla - Steak with Chips & Salsa,4.99,920,400,44,15,0,90,2,90,9,8,41
Express Fiesta Taco Salad (regional),5.19,570,230,26,9,1,55,1,63,11,6,23
Fiery Doritos® Cheesy Gordita Crunch,3.19,490,250,28,10,0,55,900,40,5,4,20
Fiery Doritos® Double Decker® Taco,1.89,320,120,13,5,0,25,760,36,7,2,14
Fiery Doritos® Locos Taco,1.49,170,80,9,3,0,25,370,12,3,0,8
Fiery Doritos® Locos Taco Supreme®,1.89,190,100,11,4,0,30,390,15,3,2,9
Fiesta Taco Salad - Beef,5.19,770,350,39,10,1,55,1,77,11,8,27
Fiesta Taco Salad - Chicken,5.59,720,300,33,7,0,65,1,73,8,7,33
Fiesta Taco Salad - Steak,5.99,730,310,34,8,0,60,1,74,8,7,32
Flatbread Sandwich - Chicken,1.49,310,110,12,3,0,40,650,32,2,3,17
Flatbread Sandwich - Steak,1.49,310,110,12,4,0,35,660,33,2,3,17
Fresco Bean Burrito,1.19,350,80,9,2,0,0,1,56,9,4,13
Fresco Burrito Supreme® - Chicken,3.49,340,80,8,2,0,25,1,48,6,4,18
Fresco Burrito Supreme® - Steak,3.99,340,80,9,3,0,20,1,48,6,4,17
Fresco Crunchy Taco - Beef,1.19,140,70,7,2,0,15,300,13,3,1,6
Fresco Soft Taco - Beef,1.19,160,60,7,2,0,15,480,18,3,2,8
Fresco Soft Taco - Shredded Chicken,1.89,140,30,3,1,0,15,470,16,2,2,10
Fresco Soft Taco - Steak,2.09,140,35,4,1,0,20,470,17,1,2,10
Gordita Supreme® - Beef,2.59,280,110,12,4,0,30,570,31,3,5,13
Gordita Supreme® - Chicken,3.19,260,80,9,3,0,35,540,29,2,5,16
Gordita Supreme® - Steak,3.19,270,90,9,3,0,30,550,30,2,5,16
Grande Scrambler Burrito - Bacon,2.49,650,310,34,9,0,225,1,64,5,5,21
Grande Scrambler Burrito - Sausage,2.49,640,310,34,9,0,220,1,64,5,4,19
Grande Scrambler Burrito - Steak,3.29,630,280,31,8,0,230,1,65,5,4,24
Grilled Breakfast Burrito - Bacon,1,350,150,17,5,0,115,900,37,2,3,13
Grilled Breakfast Burrito - Fiesta Potato,1.5,340,130,14,3,0,100,780,43,3,3,10
Grilled Breakfast Burrito - Sausage,1,340,160,17,5,0,110,730,36,2,3,11
Grilled Steak Soft Taco,2.29,200,90,10,3,0,30,510,17,1,2,12
Hashbrown,1,160,100,12,1,0,0,270,13,2,0,1
Loaded Potato Griller,1.59,410,160,18,5,0,20,1,50,3,4,12
Mexican Pizza,3.39,550,270,30,8,0,40,980,49,7,3,21
Meximelt®,2.49,250,120,13,7,0,40,720,19,3,2,14
Mini Skillet Bowl,1,180,100,11,2,0,100,430,16,1,1,5
Nacho Cheese Doritos® Cheesy Gordita Crunch,3.19,490,250,28,10,0,55,890,40,5,5,20
Nacho Cheese Doritos® Chips,0.79,140,70,8,1,0,0,210,16,1,0,2
Nacho Cheese Doritos® Double Decker® Taco,1.89,320,120,13,5,0,25,750,36,7,2,14
Nacho Cheese Doritos® Locos Taco,1.49,170,80,9,3,0,25,360,13,3,1,8
Nacho Cheese Doritos® Locos Taco Supreme®,1.89,190,100,11,4,0,30,380,15,3,2,9
Nachos BellGrande®,3.29,750,340,38,6,0,25,1,84,13,5,19
Nachos Supreme®,2.49,440,210,23,4,0,25,840,46,8,3,13
Pintos 'n Cheese,1.29,190,60,7,3,0,10,680,22,7,0,10
Power Menu Bowl - Chicken,4.99,480,180,20,6,0,70,1,46,8,3,28
Power Menu Bowl - Steak,5.19,490,190,21,7,0,65,1,48,8,3,27
Power Menu Bowl - Veggie,4.99,460,170,19,5,0,20,1,58,13,3,16
Power Menu Burrito - Chicken,3.79,450,180,20,7,0,70,1,40,4,4,26
Power Menu Burrito - Steak,3.99,460,190,21,8,0,65,1,42,4,4,25
Power Menu Burrito - Veggie,3.79,430,160,18,6,0,20,950,52,9,5,14
Premium Latin Rice,1.49,100,25,2,0,0,0,230,18,0,0,2
Quesadilla - Cheese,2.49,460,230,26,11,0,50,980,37,4,3,19
Quesadilla - Chicken,3.19,510,250,28,12,0,75,1,38,4,3,27
Quesadilla - Steak,3.19,510,250,28,12,0,70,1,38,4,3,27
Quesarito - Beef,2.49,640,300,33,12,0,60,1,65,5,4,21
Quesarito - Chicken,2.49,620,270,30,10,0,60,1,64,4,5,24
Quesarito - Steak,2.49,620,270,30,11,0,65,1,64,3,4,24
Sausage Flatbread Quesadilla,1,330,160,18,6,0,120,520,27,2,3,14
Shredded Chicken Burrito,1.89,400,160,18,4,0,30,950,45,3,3,16
Shredded Chicken Mini Quesadilla,1,180,70,8,2,0,25,520,15,2,1,12
Smothered Burrito - Beef,3.59,690,300,34,12,1,70,2,69,11,4,28
Smothered Burrito - Shredded Chicken,4.19,640,240,27,9,0,65,2,66,9,4,33
Smothered Burrito - Steak,4.69,650,260,29,10,0,80,2,66,8,4,33
Soft Taco - Beef,1.19,180,80,9,4,0,25,490,17,3,1,9
Soft Taco - Chicken,1.99,160,50,5,2,0,25,480,16,2,1,12
Soft Taco Supreme® - Beef,1.49,210,90,10,5,0,30,510,20,3,2,10
Spicy Potato Soft Taco,1,230,100,12,3,0,10,460,27,2,1,5
Spicy Tostada,1,440,210,24,4,0,10,640,46,5,2,10
Triple Double Crunchwrap Original,3.49,700,270,30,9,0,45,1,85,9,7,23
Triple Double Crunchwrap Spicy,3.49,780,340,38,10,0,50,1,87,9,8,23
Triple Layer Nachos,1,320,130,15,1,0,0,610,41,6,2,7
XXL Grilled Stuft Burrito - Beef,4.19,860,370,41,14,1,65,2,91,12,6,32
XXL Grilled Stuft Burrito - Chicken,4.99,810,310,35,11,0,80,2,87,9,6,38
XXL Grilled Stuft Burrito - Steak,5.39,820,320,36,12,0,75,2,88,9,6,37
Brisk® Iced Tea and Lemonade,1.99,200,0,0,0,0,0,125,55,0,55,0
Brisk® Mango Iced Tea,1.99,130,0,0,0,0,0,65,33,0,33,0
Crush® Orange Vanilla Float Freeze™ (16 oz),1.99,190,0,0,0,0,0,45,48,0,48,0
Crush® Orange Vanilla Float Freeze™ (20 oz),2.29,230,0,0,0,0,0,60,60,0,60,0
Diet Mountain Dew®,1.99,0,0,0,0,0,0,80,0,0,0,0
Diet Mountain Dew® Baja Blast™,1.99,0,0,0,0,0,0,130,0,0,0,0
Diet Pepsi®,1.99,0,0,0,0,0,0,95,0,0,0,0
Dr. Pepper®,1.99,500,0,0,0,0,0,200,132,0,128,0
Lipton® Brewed Sweetened Iced Tea,1.99,350,0,0,0,0,0,150,100,0,95,0
Lipton® Brewed Unsweetened Iced Tea,1.99,0,0,0,0,0,0,150,0,0,0,0
Manzanita Sol,1.99,550,0,0,0,0,0,125,145,0,140,0
Mountain Dew®,1.99,410,0,0,0,0,0,130,109,0,109,0
Mountain Dew® Baja Blast Freeze™ (16 oz),1.99,230,0,0,0,0,0,70,58,0,54,0
Mountain Dew® Baja Blast Freeze™ (20 oz),2.19,290,0,0,0,0,0,85,72,0,67,0
Mountain Dew® Baja Blast™,1.99,550,0,0,0,0,0,150,145,0,145,0
Mountain Dew® Kickstart™ Orange Citrus,1,80,0,0,0,0,0,70,22,0,20,0
Mountain Dew® Sangrita Blast™,1.99,220,0,0,0,0,0,110,60,0,60,0
Mug® Root Beer,1.99,500,0,0,0,0,0,75,130,0,130,0
Pepsi®,1.99,500,0,0,0,0,0,100,140,0,140,0
Rainforest Coffee,1.49,10,0,0,0,0,0,0,0,0,0,2
